signal_to_noise2	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21
0	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286
0.143575017946877	0.251098556183302	0.256120527306968	0.262397991211551	0.268675455116133	0.274952919020716	0.281230382925298	0.287507846829881	0.293785310734463	0.300062774639046	0.306340238543628	0.312617702448211	0.318895166352794	0.325172630257376	0.331450094161959	0.337727558066541	0.344005021971124	0.350282485875706	0.356559949780289	0.362837413684871	0.369114877589454	0.37413684871312
0.287150035893754	0.224205242610151	0.233128834355828	0.244283324037925	0.255437813720022	0.266592303402119	0.277746793084216	0.288901282766313	0.30005577244841	0.311210262130508	0.322364751812605	0.333519241494702	0.344673731176799	0.355828220858896	0.366982710540993	0.37813720022309	0.389291689905187	0.400446179587284	0.411600669269381	0.422755158951478	0.433909648633575	0.442833240379253
0.430725053840632	0.202709483191169	0.214751630707476	0.22980431510286	0.244856999498244	0.259909683893628	0.274962368289012	0.290015052684395	0.305067737079779	0.320120421475163	0.335173105870547	0.350225790265931	0.365278474661315	0.380331159056698	0.395383843452082	0.410436527847466	0.42548921224285	0.440541896638234	0.455594581033618	0.470647265429002	0.485699949824385	0.497742097340692
0.574300071787509	0.185134518923849	0.199726402188783	0.21796625626995	0.236206110351117	0.254445964432285	0.272685818513452	0.290925672594619	0.309165526675787	0.327405380756954	0.345645234838121	0.363885088919289	0.382124943000456	0.400364797081623	0.418604651162791	0.436844505243958	0.455084359325125	0.473324213406293	0.49156406748746	0.509803921568627	0.528043775649795	0.542635658914729
0.717875089734386	0.170497283744254	0.187212703719181	0.20810697868784	0.229001253656498	0.249895528625157	0.270789803593815	0.291684078562474	0.312578353531133	0.333472628499791	0.35436690346845	0.375261178437108	0.396155453405767	0.417049728374425	0.437944003343084	0.458838278311743	0.479732553280401	0.50062682824906	0.521521103217718	0.542415378186377	0.563309653155035	0.580025073129962
0.861450107681263	0.158118010026996	0.176629386810644	0.199768607790204	0.222907828769765	0.246047049749325	0.269186270728885	0.292325491708446	0.315464712688006	0.338603933667567	0.361743154647127	0.384882375626687	0.408021596606248	0.431160817585808	0.454300038565368	0.477439259544929	0.500578480524489	0.523717701504049	0.54685692248361	0.56999614346317	0.59313536444273	0.611646741226379
1.00502512562814	0.147511636233441	0.167561761546724	0.192624418188328	0.217687074829932	0.242749731471536	0.26781238811314	0.292875044754744	0.317937701396348	0.343000358037952	0.368063014679556	0.39312567132116	0.418188327962764	0.443250984604368	0.468313641245972	0.493376297887576	0.51843895452918	0.543501611170784	0.568564267812388	0.593626924453992	0.618689581095596	0.638739706408879
1.14860014357502	0.138322753090545	0.15970598062145	0.186435015035082	0.213164049448714	0.239893083862346	0.266622118275977	0.293351152689609	0.320080187103241	0.346809221516873	0.373538255930505	0.400267290344136	0.426996324757768	0.4537253591714	0.480454393585032	0.507183427998664	0.533912462412295	0.560641496825927	0.587370531239559	0.614099565653191	0.640828600066823	0.662211827597728
1.2921751615219	0.130284998434075	0.152834325086126	0.18102098340119	0.209207641716254	0.237394300031319	0.265580958346383	0.293767616661447	0.321954274976511	0.350140933291575	0.37832759160664	0.406514249921704	0.434700908236768	0.462887566551832	0.491074224866896	0.519260883181961	0.547447541497025	0.575634199812089	0.603820858127153	0.632007516442217	0.660194174757282	0.682743501409333
1.43575017946877	0.123194812849985	0.146772767462423	0.176245210727969	0.205717653993516	0.235190097259063	0.264662540524609	0.294134983790156	0.323607427055703	0.35307987032125	0.382552313586796	0.412024756852343	0.44149720011789	0.470969643383437	0.500442086648983	0.52991452991453	0.559386973180077	0.588859416445623	0.61833185971117	0.647804302976717	0.677276746242264	0.700854700854701
1.57932519741565	0.116893960478709	0.141386028388533	0.172001113275814	0.202616198163095	0.233231283050376	0.263846367937657	0.294461452824937	0.325076537712218	0.355691622599499	0.38630670748678	0.416921792374061	0.447536877261342	0.478151962148622	0.508767047035903	0.539382131923184	0.569997216810465	0.600612301697746	0.631227386585026	0.661842471472307	0.692457556359588	0.716949624269413
1.72290021536253	0.111257579752175	0.136567360928025	0.168204587397838	0.199841813867651	0.231479040337464	0.263116266807277	0.294753493277089	0.326390719746902	0.358027946216715	0.389665172686528	0.421302399156341	0.452939625626153	0.484576852095966	0.516214078565779	0.547851305035592	0.579488531505405	0.611125757975218	0.64276298444503	0.674400210914843	0.706037437384656	0.731347218560506
