WID-BC-index (corrected prob)	type
0.947267633715763	1
0.846622354071725	1
0.416846787227274	0
0.959866468604089	1
0.941454730916205	0
0.235016089207771	0
0.563626198475992	1
0.275589700554365	0
0.820893186379059	1
0.756832465870954	1
0.83832870055827	0
0.887736472206367	1
0.986442342993698	0
0.446390488897419	1
0.264802397507626	0
0.904442356278354	1
0.598903662748046	0
0.364515690769732	0
0.702369160135945	1
0.873610850507917	1
0.86938954095131	1
0.856455699216265	1
0.357844152277094	0
0.279885005444335	0
0.913499194160528	1
0.834857165620229	0
0.95412575370791	1
0.565984628964049	0
0.99976021727601	1
0.751902597167458	1
0.590470276867969	0
0.977073434434234	1
0.270871819750816	0
0.958833687497129	0
0.56363396327826	1
0.622503672186585	1
0.37810934067612	0
0.984520155469359	1
0.287522486467723	0
0.912641300816032	1
0.707545949717889	0
0.88855406949048	1
0.639133889779562	0
0.983135606602223	1
0.563880817649918	0
0.746408912501715	1
0.879743106047988	0
0.441717438420573	0
0.951174612145859	1
0.397990439765178	0
0.676763013648134	1
0.633628579560897	1
0.642025999912654	0
0.439169464702693	0
0.468066568828689	0
0.543059181214746	1
0.969255528536115	1
0.574358920746404	0
0.208588619195182	1
0.792060471382738	0
0.844655997096541	1
0.278257596532949	0
0.908759739654059	1
0.594305510590864	0
0.906449859879596	1
0.638111654082355	0
0.949295366013895	1
0.839621217492278	0
0.342993810199173	1
0.887551114431462	1
0.300330167875061	0
0.640202428934977	1
0.961600323972183	1
0.525491118977626	0
0.669205350133623	1
0.340837067386708	0
0.567433944789305	0
0.980134863676673	1
0.208922367595051	0
0.899786798395026	1
0.703110338144586	0
0.761276184197238	1
0.0611287298508204	0
0.863149533199273	1
0.487980051893343	0
0.479878005012525	0
0.700209954349315	1
0.561684304693169	0
0.965245865366849	1
0.404884789002424	0
0.64123705327154	1
0.776421414206049	1
0.853606389585232	1
0.972461165848746	1
0.849913505234475	1
0.924274536976261	1
0.946085383505806	1
0.928561820411614	1
0.896113800098243	1
0.417417506374074	1
0.93253419787312	1
0.883428969986949	1
0.933528268850934	1
0.0166164548032672	1
0.802735576491331	1
0.239683858832937	1
0.93625514755983	1
0.993245704262482	1
0.907760092721163	1
0.82940241859004	1
0.918649469681772	1
0.834309703596897	1
0.929019451947474	1
0.745487815224127	1
0.609769336310005	1
0.977881664949454	1
0.967532770422565	1
0.924963138440816	1
0.882697340997581	1
0.979179220120749	1
0.964148151195875	1
0.610007502977318	1
0.808868140015255	1
0.213605453575186	1
0.946588298977698	1
0.382931106133399	0
0.937746577152129	1
0.923374547229639	1
0.280032065239139	0
0.482167610675727	1
0.907834150094972	1
0.798481036891661	0
0.661048425849848	0
0.944853593016869	1
0.603720986062146	0
0.864151860693663	0
0.28611466335159	1
0.956209758614923	0
0.88785870701722	1
0.876749106347645	0
0.944354158304225	1
0.460108910934555	0
0.211806661469711	1
0.669314606255687	1
0.763542663560542	0
0.321115095910275	1
0.927277231069513	0
0.787232823346207	1
0.86866471382415	0
0.95584897989625	1
0.998595318562556	1
0.966691640907769	1
0.937002392171268	1
0.941790351131504	1
0.978520640798791	1
0.794655904479913	1
0.966315257669756	1
0.788289271441706	1
0.689340261220094	0
0.572490274093881	1
0.555447090375427	0
0.802476191508166	1
0.968966071326749	1
0.909469899940248	0
0.78688726236686	0
0.187845316693465	0
0.443369223152102	0
0.882242933818685	1
0.762596906814563	0
0.394664782578487	0
0.924757344639429	1
0.609921442141423	1
0.948043921615071	1
0.51532357375247	0
0.933741063644347	1
0.975288856802984	1
0.973745197275436	1
0.802535419041169	0
0.72531383369871	0
0.951759377978082	1
0.171031778842286	0
0.665132572499848	1
0.510591900728836	0
0.914586254202612	1
0.909444722730178	1
0.997029108761041	1
0.678509954151717	0
0.990730574525405	1
0.783402367723358	1
0.0760956888360587	1
0.998218604594823	1
0.63586324645735	1
0.928223697265187	1
0.889510491159274	1
0.837589047846247	1
0.953471664519957	1
0.830463653603026	1
0.716894650975661	1
0.936220879509357	1
0.374825225005903	1
0.83665278723045	1
0.921102825264173	1
0.925217296029866	1
0.151797809187583	0
0.414159843714876	0
0.856106013565664	1
0.721904276531738	1
0.341660176709938	0
0.67785425015146	0
0.65752592260561	1
0.969452183219018	1
0.951137297050287	1
0.00432277364616382	0
0.931060974367887	1
0.654015108669302	0
0.966799806726529	1
0.928045119378225	1
0.756156744879343	1
0.962980184648023	1
0.682147145580432	0
0.913136358961749	1
0.485895686042553	0
0.9043140053859	0
0.960920134702937	0
0.417317219186267	0
0.58748338998026	0
0.379456041393133	0
0.753711829751233	1
0.754272839266863	1
0.569127532166526	1
0.960007911259779	1
0.830262148553191	0
0.602133484481677	0
0.903324806935256	0
0.706152646502651	0
0.969711869566118	1
0.970728676991372	1
0.203746734862431	0
0.898587325204255	1
0.319957766951403	1
0.498413450035107	0
0.963978139463175	0
0.837950009036387	1
0.646240443694674	0
0.96804978424488	1
0.931071762412085	1
0.906451677277885	1
0.94016096942681	1
0.980518692124665	1
0.983340248965512	0
0.582195091136559	1
0.602291638687053	0
0.427037934576795	0
0.509844804055646	0
0.813197556647495	1
0.780374280977453	1
0.829976486716176	1
0.907831285721544	1
0.851312075785279	0
0.642810040543542	0
0.776099081021577	0
0.945080621862337	1
0.890143442243605	1
0.961130276945441	1
0.485348941700095	0
0.911199869267281	0
0.685032114477272	1
0.894404445677099	1
0.281648811325217	0
0.310512401722765	0
0.878242866908579	1
0.876946838679582	1
0.969535660507689	0
0.797464613999757	1
0.545760488616096	1
0.368682123300692	0
0.8553531498689	1
0.956997797054582	1
0.661728698175973	0
0.640697017042933	0
0.991364769654256	1
0.494041255571975	0
0.430885924458071	1
0.695008558229499	0
0.896881316834936	1
0.391822633643825	0
0.261172474527724	0
0.93177044476095	1
0.173777744907633	0
0.421275403931139	1
0.622443318859875	0
0.796774575351361	1
0.901422195539477	1
0.933290041149462	1
0.972648406095984	1
0.913727769225236	1
0.893955577109605	1
0.589988964109589	1
0.915388794994441	1
0.906626203109126	1
0.915431080686652	1
0.839950733889984	1
0.472769119327399	1
0.848985920201171	1
0.647235975936306	1
0.817622480184354	1
0.884242231533812	1
0.324203854896074	1
0.924045378976803	1
0.887783100900328	1
0.925000937261838	1
0.937113919500961	1
0.823285691451367	1
0.82005567638272	1
0.701422349882077	1
0.851065364879141	1
0.879373964291508	1
0.787559210608562	1
0.944368747933182	1
0.586035667072311	1
0.884025761154589	1
0.883097615364357	1
0.83754048374517	1
0.926577018142141	1
0.833539221206975	1
0.827787100191274	1
0.898469742270213	1
0.853321778998911	1
0.951337004969755	1
0.979012263738305	1
0.925660002605404	1
0.957559205819356	1
0.527321237101635	1
0.816474307875975	1
0.886075206599798	1
0.965216749293337	1
0.988606473853239	1
0.999717250564696	0
