WID-BC-index (shared)	immune cell proportion	type
-1.16533311821173	0.223901751619982	Breast cancer
-1.44624516264312	0.530829199985023	Breast cancer
-1.63406700132262	0.930164533563664	Breast cancer
-1.54878263464691	0.356638901480717	Breast cancer
-1.39836705173912	0.411413453471446	Breast cancer
-1.27354690884376	0.284793706482141	Breast cancer
-2.12886663727504	0.842759985789898	Control
-1.46278823513647	0.171087763129129	Control
-1.9872366361514	0.740280195214543	Control
-2.08504888107498	0.764389664290557	Control
-0.845058382269292	0.0116472039002767	Control
-1.4983928819004	0.396439571725659	Control
-1.51906015217651	0.693002874761634	Control
-1.38668430769496	0.276189726546185	Control
-1.21799807223485	0.207153258172182	Control
-1.55094781123802	0.429813887875932	Control
-1.66742572642244	0.316485646036089	Control
-1.91388640120614	0.782952748660713	Control
-1.70678500359249	0.380639708598416	Control
-1.46880679926372	0.211549407561309	Control
-1.55895143630008	0.0434724121658983	Control
-1.65896413530957	0.320278618888269	Control
-1.66915666450606	0.605372251975784	Control
-1.79828439515823	0.861542543386296	Control
-1.24009414402577	0.378765650360322	Control
-1.94874754846535	0.32489456291855	Control
-1.63205165640221	0.409934572469189	Control
-1.82760353819561	0.897438348602038	Control
-1.9521909006177	0.227626849831434	Control
-0.908376706233886	0.0322922749775699	Control
-1.67791705696727	0.671579422158687	Control
-1.57586178015451	0.88341543877591	Control
-1.62334632659229	0.781176930639323	Control
-1.38905262816597	0.896065256684654	Control
-0.92151445755042	0	Control
-1.45960166222325	0.187470600365606	Control
-1.93637053658129	0.336784966004738	Control
-1.60747195361592	0.557420856528205	Control
-2.03935222837855	0.438661437071053	Control
-2.00038292121752	0.718491257016994	Control
-1.68055368768232	0.230674411760649	Control
-1.61871011404925	0.593084535529992	Control
-1.64889621920718	0.607561760102329	Control
-1.49323677227691	0.46851006658263	Control
-1.24067995034478	0.303258484280692	Control
-1.53499568572204	0.0380384665474442	Control
-1.23447432914808	0.291287110444853	Control
-1.54069574625295	0.511629688809222	Control
-1.55594030166604	0.412557856961349	Control
-1.82111048570462	0.688876694059585	Control
-0.920279686347518	0.133327403044873	Control
-1.38223876781885	0.0225721567255146	Control
-1.89712029239338	0.49332077192101	Control
-2.07146308659841	0.767342822151489	Control
-1.14205406202156	0.527349590996378	Control
-1.8284282610278	0.780887222238954	Control
-1.7040170104998	0.218480123660323	Control
-1.90272555586639	0.298068417174764	Control
-1.45683975501622	0.0957575040048044	Control
-1.61063583936408	0	Control
-1.68403209381256	0.500191824241061	Control
-1.76291879459694	0.505559391544447	Control
-1.49874202857112	0.265997075665284	Control
-1.68752076490963	0.329343948535364	Control
-1.44662053023966	0.285806931499674	Control
-1.57412170466712	0.621443517426179	Control
-1.34508939894727	0.386140111980881	Control
-1.50993152528289	0.401061698859773	Control
-1.65280589732919	0.730862251719786	Control
-1.37481552160176	0.159752462169268	Control
-1.23144957334849	0.332070032917269	Control
-1.88002647814078	0.869714081878026	Control
-1.37119803108868	0.39650661434143	Control
-0.796774453173228	0	Control
-2.07845935657937	0.524463071788568	Control
-1.29375364556385	0.399136377064087	Control
-1.18244485054637	0.396706096938621	Control
-1.32288757876285	0.873649249915559	Control
-1.28997387113015	0.0189227286209378	Control
-1.90529740331402	0.836446403407183	Control
-1.0525175033129	0.0649539197642253	Control
-1.81840000952584	0.681801475444771	Control
-1.64648546738962	0.258596532367172	Control
-1.28444324526331	0.185229479594749	Control
-1.59562460919321	0.823922139807978	Control
-1.78344557843747	0.780870286767516	Control
-1.43933958170709	0.481217036313079	Control
-1.07244173796449	0.0650967115185468	Control
-1.90484704317528	0.3727910118697	Control
-1.3818542042364	0.489700597782827	Control
-1.55561170380113	0.254718300514008	Control
-1.36468734577	0.273090872937147	Control
-1.18027856280913	0.317123068153718	Control
-1.65755337465749	0.527872711312284	Control
-1.57795582030209	0.0618543208183548	Control
-1.64035334686847	0.885492238963624	Control
-2.20607969714792	0.635381113692984	Control
-2.10274417968512	0.327899541310496	Control
-1.89300429359021	0.588344341482295	Control
-1.62243396320801	0.67592485189114	Control
-1.36293011783773	0.557196259538899	Control
-1.55631144444195	0.0723247796813098	Control
-1.72869647471022	0.500492535023838	Control
-1.04107052299777	0.609472423098043	Control
-1.72685234656796	0.293289896767329	Control
-0.998943864947447	0.0523903348772586	Control
-1.56339779111419	0.82857903242168	Control
-1.71799987128889	0.425737464620145	Control
-1.60791172744785	0.367705985319592	Control
-1.86128537076507	0.591218745989829	Control
-1.63212966297793	0.644994179307145	Control
-1.64371188805545	0.704369573988269	Control
-1.38469954514868	0.536477320872839	Control
-1.08104671559375	0.229312451289003	Control
-1.86738437159967	0.624839898681968	Control
-1.36053578005785	0.280532207880095	Control
-1.98809175689037	0.393420393934606	Control
-1.82078288487988	0.930578867739542	Control
-1.6620291768317	0.747302136017937	Control
-1.57350626808158	0.806502318633003	Control
-2.06793829133627	0.574548762500673	Control
-1.39327774220316	0.0871633624916182	Control
-1.69035939093996	0.542883912334965	Control
-1.80229972492548	0.91532866126003	Control
-1.84453572461888	0.660025154483864	Control
-1.65209813707809	0.252896123891394	Control
-1.23353572573449	0.00819679709128974	Control
-1.6690793024555	0.697726509637593	Control
-1.59696691719857	0.442897028868669	Control
-1.84192622021436	0.590370831145334	Control
-1.90919799274177	0.647290649207027	Control
-1.67417610465432	0.349650101101191	Control
-2.05117648130804	0.834684192395077	Control
-1.82510160219764	0.812842892265052	Control
-1.41413096846166	0.0931851055044406	Control
-1.72897574099524	0.771158775185656	Control
-1.55000396946832	0.538624558006589	Control
-2.17521024245716	0.801175435178861	Control
-1.35076181870542	0.306372397870587	Control
-1.73904482693982	0.622972331348823	Control
-1.69556177750275	0.571646054082061	Control
-1.4791157630861	0.786952445457607	Control
-2.07890938422506	0.73721637540657	Control
-1.47333227793464	0.461898675436326	Control
-1.71060694488688	0.590135486942923	Control
-1.67873097192893	0.655902672221621	Control
-1.71432069107082	0.619923305291235	Control
-1.72060793310087	0.589005370309697	Control
-1.65785048301616	0.225031881642743	Control
-1.65224727004824	0.66970647831041	Control
-1.60115578935599	0.616255478740708	Control
-1.94854034865838	0.930384342320581	Control
-1.74892365071735	0.723163823890773	Control
-1.61670826832874	0.456219467731442	Control
-1.21877292594603	0.204833609730284	Control
-2.0687128792157	0.936397401039487	Control
-1.21076979313515	0.0201739345062094	Control
-2.04769442935474	0.733952345572886	Control
-1.40798011105834	0.140597144557038	Control
-1.90671710268786	0.816884825474407	Control
-1.8791405643949	0.519990934013848	Control
-2.14952491648083	0.723226643474699	Control
-2.04580590026106	0.710784584429395	Control
-1.73255590540935	0.506946792807666	Control
-2.30486834030757	0.337649691856884	Control
-1.12910553149137	0.147107512449594	Control
-1.74228241868214	0.272419108226666	Control
-1.86981626343195	0.909511085200214	Control
-1.57380445021278	0.49630724899088	Control
-1.55796427815702	0.331929468179373	Control
-1.71300979204831	0.289419486270964	Control
-1.43390539566643	0.44085044704544	Control
-1.45412297412937	0.31586385759233	Control
-1.38860937191643	0.360652999614754	Control
-1.2257332650725	0.362575772957703	Control
-1.79089230924708	0.608806332363727	Control
-1.39688708080084	0.255725002394333	Control
-1.64797789364407	0.750458788668301	Control
-1.73236776490692	0.281052146333983	Control
-2.11337194058228	0.904535291748073	Control
-1.96616862245307	0.77722028806649	Control
-1.31906613883045	0.180430943190515	Control
-1.54856763496015	0.588369486604332	Control
-1.68847268851187	0.133964571672774	Control
-1.58312254514346	0.326041427339468	Control
-2.01009527413501	0.949226443959853	Control
-2.00835263156223	0.844126675281769	Control
-1.92816002038807	0.762621916218109	Control
-1.72660104145891	0.70654778702096	Control
-1.91992248499635	0.565549524125522	Control
-2.21704180787936	0.80307809717627	Control
-1.20747639556867	0.477419997967582	Control
-2.03064726569826	0.77079831702073	Control
-1.57630744155201	0.0621923326522515	Control
-1.59690793240975	0.495010925984416	Control
-1.50031079112376	0.473569293479212	Control
-2.25418002793333	0.709436717965655	Control
-1.6601113860116	0.46874610359385	Control
-1.91923231750337	0.181196483148904	Control
-1.34269290733773	0.173381990389864	Control
-0.975433706236598	0.0852030046196792	Control
-2.16383382402544	0.799086418429137	Control
-2.1136923983283	0.805155876902799	Control
-1.73577307382199	0.610353531220508	Control
-1.41271607497418	0.464294721484174	Control
-1.7365118462932	0.764959402214765	Control
-1.53857233772295	0.0407798001874145	Control
-0.776428463731155	0.132189049613148	Control
-1.55643552336357	0.521901998756314	Control
-1.31966259349065	0.189390198391365	Control
-1.28047951867714	0.0385379586091897	Control
-1.6582639540451	0.15035232719577	Control
-2.02271420254864	0.876666699646005	Control
-1.0534902509146	0.155360004677683	Control
-1.66974646016652	0.393377508519078	Control
-2.15338050125077	0.886402523604957	Control
-1.62489918576199	0.629004436046163	Control
-1.19284215250443	0.0501699227560971	Control
-1.79506611972921	0.950222813381036	Control
-1.99952307697261	0.677374049509858	Control
-1.33253303193308	0.668661825737566	Control
-1.4762786981655	0.156173649325097	Control
-1.91105932784026	0.772829566849181	Control
-1.05721985033241	0.230177759303786	Control
-2.07398215685307	0.646247677075018	Control
-1.92347044299601	0.865434735547675	Control
-1.70983785745029	0.572911006339433	Control
-1.42015324468145	0.343492657157669	Control
-1.26900710420296	0.484781048788566	Control
-2.04377775973638	0.516644585339245	Control
-1.36259041237545	0.736923390147798	Control
-1.91478264221932	0.944544122730092	Control
-1.72358631986636	0.932424306349746	Control
-1.54954354706293	0.00921308915146085	Control
-1.53072805486965	0.67672846899489	Control
-1.64910667611711	0.255589687202144	Control
-1.7968580807416	0.871553416748183	Control
-1.08083095502616	0.372868086059919	Control
-1.42893992489857	0.525899626406826	Control
-1.01425559907494	0.0342968700938431	Control
-1.76836315391873	0.901633660242569	Control
-1.77381629791066	0.745075296650324	Control
-0.992679532680835	0	Control
-1.54676210122342	0.8043275529916	Control
-1.20252854779716	0.260786010247137	Control
-2.25779366454383	0.773370819022962	Control
-1.72611911370253	0.856818659147067	Control
-1.53884004904953	0.248664235467342	Control
-1.51779786129561	0.600290647290561	Control
-2.13240997956277	0.52431453152573	Control
-1.16349278678222	0	Control
-1.61028567972118	0.546002984035494	Control
-1.60848562643429	0.534784942059861	Control
-2.06284553006593	0.753318228315786	Control
-1.44973034887603	0.53988140459456	Control
-1.83999438602464	0.703345910411958	Control
-1.6508860590961	0.411119297446361	Control
-1.52552616291014	0.888181574709489	Control
-2.06034465268051	0.260246354636142	Control
-2.1010111305265	0.41868164942291	Control
-2.0043002611232	0.898343538458531	Control
-1.45572445544211	0.226860018817375	Control
-1.70240346714615	0.414824979048058	Control
-2.22717744590635	0.324531010541927	Control
-1.30790954930033	0.615613638570206	Control
-1.93357934243817	0.590631986708662	Control
-1.70161333071766	0.704848931127271	Control
-2.02863205918844	0.874302560818139	Control
-2.36230953756629	0.253516522546293	Control
-1.94540633529315	0.555326422736469	Control
-1.51182213697288	0.62260963010602	Control
-1.17176858130452	0.143927761451168	Control
-1.85315619954017	0.917501732297038	Control
-2.00458301218015	0.651716140778776	Control
-1.55079932927056	0.282192610585607	Control
-1.91134197704917	0.533174405033216	Control
-1.34928316529682	0.630667726016757	Control
-1.36175484574378	0.449423728110566	Control
-1.58158044677595	0.709191243412242	Control
-1.16275280909051	0.184698778876139	Control
-1.82822351073818	0.747936528224618	Control
-1.48075906605466	0.400512996585361	Control
-1.64812403960588	0.870732077641593	Control
-1.20107257035916	0	Control
-1.92241421788384	0.216997802878132	Control
-1.39825026775663	0.794420129636785	Control
-1.64172269701895	0.500381229238428	Control
-1.30899061111385	0.517404882243066	Control
-1.89942198800709	0.772070645938006	Control
-1.46611096738706	0.405298968287934	Control
-2.04529573640947	0.81414760069914	Control
-2.02513855821454	0.446550004694329	Control
-1.37828366009812	0.279990657632621	Control
-1.58066979515478	0.545693065742293	Control
-1.32345235571517	0.00253602964212153	Control
-1.67058042483076	0.513469319398493	Control
-1.94775569403682	0.354714926916134	Control
-1.1864644202356	0.240832431370059	Control
-1.92192978636601	0.0596437859807915	Control
-1.70889739559987	0.647000925779079	Control
-1.72651794966481	0.686351364685118	Control
-1.06640253435005	0.360822214806432	Control
-1.7490671543912	0.698876799719422	Control
