WID-BC-index (epithelial)	immune cell proportion	type
0.287953443600487	0.574135940658153	Breast cancer
0.319425143016825	0.461806675120373	Breast cancer
-0.180877247461951	0	Breast cancer
0.653938706548023	0.70454886991033	Breast cancer
0.947498935271677	0.74756121312272	Breast cancer
0.826962611247276	0.766975914599968	Breast cancer
0.365423803588684	0.446930686298846	Breast cancer
0.573076028755204	0.826747237143626	Breast cancer
1.1658538868091	0.178529914709047	Breast cancer
0.877548749894782	0.613784919467541	Breast cancer
0.300501412638776	0.624193482594805	Breast cancer
0.55334474296473	0.685462290739003	Breast cancer
-1.08040281051313	0.0396884341555018	Breast cancer
-0.128443431319547	0.453414024099549	Breast cancer
0.566716945195253	0.955669164331919	Breast cancer
0.325125413038598	0	Breast cancer
0.764992814275967	0.702907736916086	Breast cancer
0.404668554729526	0.558437894958648	Breast cancer
0.563931672197117	0.891810564482154	Breast cancer
0.286878813148899	0.461154906678642	Breast cancer
0.55894849816715	0.847511276910324	Breast cancer
0.369905132964212	0.746440326282182	Breast cancer
0.613170891851076	0.937450403570339	Breast cancer
0.422312854602292	0.698511954950585	Breast cancer
0.24438037047235	0.293129556303661	Breast cancer
0.0339897434614121	0.0266072703505609	Breast cancer
0.344191399928661	0.482969979000295	Breast cancer
0.33047473791416	0.00684970389675897	Breast cancer
0.69921779623668	0.862544876652664	Breast cancer
0.777499469344619	0.825546307819955	Breast cancer
0.4863441641856	0	Breast cancer
-1.18777370767111	0.0492480411660255	Breast cancer
0.89016147098494	0.718021638208515	Breast cancer
0.415167897992193	0.876002949768744	Breast cancer
0.515487473967375	0.226811651116732	Breast cancer
0.346979386021711	0.708188838470458	Breast cancer
0.043586072444362	0.291189964649183	Breast cancer
0.642128015390136	0.539857849643434	Breast cancer
0.866101387187044	0.0273181608394016	Breast cancer
0.377759755792772	0.410284865976073	Breast cancer
0.350968098720637	0.272696304517567	Breast cancer
0.650697859478242	0.878510666573846	Breast cancer
-0.267588286602273	0	Breast cancer
0.558689930713325	0.090398224781176	Breast cancer
0.317403326683952	0.833094363557866	Breast cancer
-0.352094008340485	0.0174495433225904	Breast cancer
-0.671164686205141	0	Breast cancer
0.304605588710988	0.620997988036387	Breast cancer
0.607210600405234	0.901636854214759	Breast cancer
0.647612209091351	0.90766822653045	Breast cancer
0.645853392883323	0.174152595833374	Breast cancer
0.388789833193674	0.546018259745485	Breast cancer
0.53884994940015	0.265205852014645	Breast cancer
0.573197971106399	0.865774667167746	Breast cancer
0.657826268881305	0.860221898024907	Breast cancer
0.871948785234266	0.77959629844792	Breast cancer
0.555714618430536	0.757574950705055	Breast cancer
0.578225079155799	0.929111363827736	Breast cancer
0.284776043379002	0.6269675859948	Breast cancer
0.27082571145733	0.507780607011316	Breast cancer
0.00272004887814353	0.0873463503827905	Breast cancer
0.0181296438009622	0.251511178873042	Breast cancer
0.682916239847969	0.884959915028351	Breast cancer
0.440369333007593	0.759138419952311	Breast cancer
-0.221204692251869	0	Breast cancer
0.554112850284265	0.841463381481329	Breast cancer
0.581538627584138	0.895167983186833	Breast cancer
0.602953897333527	0.913051692310297	Breast cancer
0.584760946100495	0.196248818067083	Breast cancer
0.809755692986805	0.900817952024864	Breast cancer
-0.520430357269742	0.0822142172838677	Breast cancer
0.515459725871296	0.70249111087051	Breast cancer
0.546312710994028	0.761572889505769	Breast cancer
-0.567412968569287	0.191714317363668	Breast cancer
0.611663402208976	0.788868201727115	Breast cancer
0.579312833620578	0.633673865220455	Breast cancer
0.351530597719095	0.370153804989276	Breast cancer
1.08786423734662	0.198513210593378	Breast cancer
0.633859567781843	0.716708973533114	Breast cancer
-0.923616331905199	0	Breast cancer
0.296375261385561	0.13050133972834	Breast cancer
