type	WID-BC-index	WID-BC-index w/o mQTLs
Control	-0.551457077472062	-0.654418478736921
Control	-0.398622149654517	-0.448441518473958
Breast	0.803593729859852	1.36848307976489
Control	-0.795292596910349	-1.07437317349026
Breast	-0.851725895120242	-1.1006415814765
Breast	0.849976810040548	1.34934935543426
Control	0.59211238498691	1.00024390248452
Breast	0.833894368079361	1.29532067202138
Control	-0.642917591935392	-0.797840975259951
Control	0.138586054869095	0.263104664786984
Breast	-0.104651007001954	-0.0148581464726622
Control	-0.466055360919239	-0.562339506161074
Breast	-1.10122167967889	-1.48571348067843
Control	0.750888131387621	1.2211779782464
Breast	0.959610975601036	1.57728187072376
Control	-0.311249637899732	-0.337754267541854
Breast	0.62588595514472	0.994089821569711
Breast	0.733611924741499	1.21563256199128
Control	-0.114311793353751	-0.104604560869088
Control	0.0103727848017173	0.14961083624229
Control	-0.20720478949541	-0.166683510804599
Control	-0.372585774865282	-0.427070363999153
Breast	0.956661240014256	1.52497175768861
Breast	0.840944523623338	1.32792177428517
Control	-0.855469961760492	-1.16089469150764
Breast	0.107678464452699	0.266279022911136
Control	-0.342367474771833	-0.392339218894575
Breast	0.474329592474126	0.843343520883295
Control	-3.20307984749895	-4.5770466843143
Control	-0.0255190732197846	0.100839227764037
Breast	0.560853082223194	0.905461026557799
Control	-0.908924543950294	-1.19070705066452
Breast	0.698357232254714	1.15501203792378
Breast	-1.0830840215806	-1.45330271084833
Control	0.339754007048626	0.65852193386356
Control	0.345391260748126	0.675644234360944
Breast	0.515124109546098	0.880157346383657
Control	-1.21782044504109	-1.70985953623764
Breast	0.548658471727455	0.899900835848946
Control	-0.660832561367484	-0.864273626242414
Breast	0.0658583277223205	0.200510811666873
Control	-0.249659732063969	-0.250399523337553
Breast	-0.0154009710933118	0.0966613809644375
Control	-1.42092226794368	-1.93368045766131
Breast	0.615980018047353	1.0325697488553
Control	0.123844774156906	0.291716118687897
Breast	-0.135074818658089	-0.0439613065981653
Breast	0.773912843671425	1.21385235005308
Control	-0.309003689103518	-0.386404559725719
Breast	0.845075413348492	1.36903700795479
Control	0.314246956615944	0.629975274752404
Control	0.332401032791794	0.610688594457044
Breast	0.293047901756276	0.564512633756515
Breast	0.668485440541636	1.07013586048106
Breast	0.889998521956703	1.47163809094504
Control	0.0838969806126838	0.277605017485616
Control	-0.487248895994164	-0.589799667520305
Breast	0.332494543683824	0.629389884931686
Control	0.979337893587623	1.57801615518509
Breast	-0.170154816601014	-0.106393971158868
Control	-0.475234988220919	-0.554455619522342
Breast	1.08377399971478	1.71999005107639
Control	-0.711138076102777	-0.863849775972051
Breast	0.589150579010559	0.999892872686849
Control	-0.786209949350464	-0.983884466386561
Breast	0.512058276816422	0.856972544574098
Control	-0.888319209259952	-1.15153509293697
Breast	-0.0846463731895947	0.0262089175789553
Control	0.427977509170012	0.688216013626155
Control	0.0661259652569948	0.240345336364063
Breast	0.600328411281881	1.01257328280283
Control	0.175352347239446	0.433362917371901
Control	-0.831182910711615	-1.11101254917126
Breast	0.325308097060911	0.579565882495931
Control	-0.11656251504656	-0.104531962410899
Breast	0.671038232062924	1.14938219748318
Breast	0.422483368846872	0.689827082094536
Control	-1.15376654879521	-1.57757435112054
Breast	1.12647906421686	1.69353702549664
Control	-0.567192254472701	-0.688841452698581
Breast	0.157388383841221	0.302271411629135
Control	0.0665636970084218	0.267294014252453
Breast	1.61763729440295	2.43394812464466
Control	-0.13800038235082	-0.0849594096938251
Breast	0.390125308969872	0.686818446403038
Breast	0.321214382384026	0.582277728403679
Control	0.0650335173664305	0.147791594864422
Breast	0.187290063356945	0.358751602797863
Control	-0.845599280872244	-1.12106696705146
Breast	0.789639962407093	1.29998541674344
Control	0.0213301928744247	0.170031241583813
Control	-0.0129174363737295	0.0987113617166006
Control	-0.579394927879378	-0.726544840163759
Control	-0.932420382706986	-1.23113246732434
Control	0.0538658712391623	0.24335295302859
Control	-0.465062442911229	-0.590764438235293
Control	-0.726797375018911	-0.964280064495781
Control	-0.409856925997201	-0.442571798827569
Control	-0.0630513314524876	0.0609086472811504
Control	1.30846793201568	2.03224778278284
Control	-0.351817087947245	-0.364706677715603
Control	-0.611029680325905	-0.844819555964282
Control	-0.401241437798033	-0.493869671944332
Control	1.99726444904991	3.06146175268844
Control	0.170920652773421	0.373019379554056
Control	1.46658547799519	2.23953426488346
Control	-0.344061358954514	-0.429938539496615
Control	-1.66651079319503	-2.29141891840436
Control	-0.579990265895295	-0.715100997806645
Control	-0.0205134500800236	0.088379079647049
Control	-0.274127319754338	-0.30138367907956
Control	-0.115618076387011	-0.0214696167550962
Control	-0.109373210947466	-0.10093988236122
Control	0.191368836145348	0.400089152233113
Control	0.0132437311485007	0.144598976259769
Control	-0.919039051325236	-1.22948761029749
Control	-0.765227196668361	-1.00573584081542
Control	-0.70105119120084	-0.857413553508372
Control	-0.0851719101208748	0.0481588315722792
Control	-0.706138628508063	-0.910360834448769
Control	-0.184504706250369	-0.123005369735282
Control	0.596196647873655	1.08052263523111
Control	-0.0434995321871635	0.0829429455340417
