ridge	lasso	n
0.739748677248677	0.730098605098605	100
0.75784632034632	0.758748196248196	500
0.78018278018278	0.75225468975469	1000
0.801857864357864	0.778348965848966	2000
0.820135882635883	0.779731842231842	3000
0.814484126984127	0.773959836459836	4000
0.818903318903319	0.780212842712843	5000
0.820707070707071	0.778950216450216	6000
0.820887445887446	0.781144781144781	7000
0.818302068302068	0.786646224146224	8000
0.820857383357383	0.78766835016835	9000
0.822270322270322	0.786285473785474	10000
0.820556758056758	0.788389850889851	11000
0.825186387686388	0.793380230880231	12000
0.827050264550265	0.791696729196729	13000
0.825517075517076	0.792989417989418	14000
0.825847763347763	0.802188552188552	15000
0.828613516113516	0.795484607984608	16000
0.830988455988456	0.786706349206349	17000
0.829485329485329	0.790133477633478	18000
0.83032708032708	0.783399470899471	19000
0.829906204906205	0.790133477633478	20000
0.833633958633959	0.786405723905724	21000
0.831860269360269	0.784211159211159	22000
0.835137085137085	0.786736411736412	23000
0.836399711399711	0.788900913900914	24000
0.837632275132275	0.77720658970659	25000
0.837632275132275	0.777627465127465	26000
0.837842712842713	0.776004088504089	27000
0.840247715247715	0.77970177970178	28000
0.841991341991342	0.779731842231842	29000
0.841360028860029	0.779671717171717	30000
