keep	remove	disjoint
0.720147907647908	0.841961279461279	0.841961279461279
0.783279220779221	0.843584656084656	0.843584656084656
0.813221500721501	0.828493265993266	0.828493265993266
0.823923761423761	0.80513468013468	0.80513468013468
0.830026455026455	0.772637085137085	0.772637085137085
0.833002645502645	0.754208754208754	0.754208754208754
0.835527898027898	0.724296536796537	0.724296536796537
0.838534151034151	0.710377585377585	0.710377585377585
0.839977152477152	0.689905002405002	0.689905002405002
0.839045214045214	0.660924723424723	0.660924723424723
0.838504088504089	0.678360990860991	0.678360990860991
0.839165464165464	0.655814093314093	0.655814093314093
0.839766714766715	0.655122655122655	0.655122655122655
0.840758778258778	0.641804954304954	0.641804954304954
0.842171717171717	0.642736892736893	0.642736892736893
0.841841029341029	0.638017075517076	0.638017075517076
0.842141654641655	0.631132756132756	0.631132756132756
0.841991341991342	0.631313131313131	0.631313131313131
0.842622655122655	0.625781625781626	0.625781625781626
0.84220177970178	0.622324434824435	0.622324434824435
0.841750841750842	0.617093554593555	0.617093554593555
0.841510341510342	0.616372053872054	0.616372053872054
0.841269841269841	0.625901875901876	0.625901875901876
0.841179653679654	0.613816738816739	0.613816738816739
0.841720779220779	0.614808802308802	0.614808802308802
0.841660654160654	0.616191678691679	0.616191678691679
0.841810966810967	0.606210918710919	0.606210918710919
0.841991341991342	0.603535353535353	0.603535353535353
0.841961279461279	0.620911495911496	0.620911495911496
0.84208152958153	0.611892736892737	0.611892736892737
0.841961279461279	0.609487734487735	0.609487734487735
