WID-BC-index	type	Fat
0.940650071770955	Epithelial	0.630515763034065
1.07373993442575	Epithelial	0.721715388936682
0.625099677765723	Epithelial	0.520288680018318
0.715807716531004	Non-epithelial	0.727447720903357
1.65710425705646	Non-epithelial	0.793446488053861
1.30947669566847	Non-epithelial	0.756380157002538
0.659575758737711	Non-epithelial	0.836594474817053
2.21700999086813	Epithelial	0.550261250108011
0.564997982766414	Epithelial	0.434268622187676
1.08989297536691	Epithelial	0.563697836732421
-0.0828217265673001	Epithelial	0.426701768409074
0.96742731783379	Epithelial	0.349008439767733
1.23411687297382	Epithelial	0.710175024978676
1.23191915974288	Epithelial	0.46633492133325
0.988746197410329	Epithelial	0.627843187414457
0.813964734832796	Non-epithelial	0.846625464223034
1.46466943319112	Epithelial	0.78103928259388
0.31161151383962	Non-epithelial	0.774617931321758
1.21267992960873	Epithelial	0.487369472902676
0.863994128560819	Non-epithelial	0.526468279704775
0.941675904687149	Epithelial	0.623596344676871
1.351538934943	Non-epithelial	0.723052506448829
1.30921733553109	Non-epithelial	0.71211263867596
1.16605157334457	Non-epithelial	0.79948458489049
1.1562033551045	Non-epithelial	0.750328213828463
-0.161360444707571	Non-epithelial	0.225857990081221
1.44713042975628	Non-epithelial	0.870994446278671
0.746386732997844	Epithelial	0.59112492268976
0.457434551130354	Epithelial	0.904693058136951
0.893128923655995	Non-epithelial	0.819509746890167
0.523795755973399	Epithelial	0.376305871471556
0.877182560972817	Epithelial	0.64005346301803
1.2838520781769	Epithelial	0.463862457058278
0.754767392503771	Epithelial	0.602677918940855
1.40768647912064	Non-epithelial	0.673939677583985
0.339411037974102	Epithelial	0.398299580236466
1.3675293454934	Epithelial	0.522779463061459
1.11119289096397	Non-epithelial	0.693645082257982
0.631014798075145	Epithelial	0.659020467870348
2.39098654609698	Epithelial	0.561221718520095
0.611189488843406	Non-epithelial	0.883263530081167
1.76644472859622	Non-epithelial	0.747029498695314
0.681482030526942	Epithelial	0.577407401890163
0.843805412822458	Epithelial	0.479097233042378
0.900495281216868	Epithelial	0.664316602506807
0.81223716330513	Non-epithelial	0.153675072460606
0.754802143604673	Epithelial	0.625335299680536
0.238053992012229	Non-epithelial	0.455193722425033
1.19761604982327	Epithelial	0.691841547851624
1.11877865438947	Non-epithelial	0.794095445826018
1.04417799934067	Epithelial	0.605793059446082
1.07586486455652	Epithelial	0.660734012909386
0.862348101772118	Non-epithelial	0.860451389537172
1.25308855683106	Non-epithelial	0.83484933690132
1.20581505038664	Non-epithelial	0.739996355259351
0.308473019016888	Epithelial	0.487555851983581
0.97107465398137	Epithelial	0.595298783091813
0.593485997452742	Epithelial	0.559330246181896
0.782502312880823	Non-epithelial	0.78885259594685
-0.187898246921504	Non-epithelial	0.231183301891644
1.95632938614006	Epithelial	0.572730834667124
1.37681204257952	Non-epithelial	0.772106846287298
0.911729023094152	Epithelial	0.654496782231073
1.35555360528016	Non-epithelial	0.845669889668101
-0.0874284586506456	Non-epithelial	0.437004333514058
0.941840164497651	Non-epithelial	0.723847302359022
1.09345431908669	Epithelial	0.729331781559738
2.02622175532587	Epithelial	0.572762597533956
0.583865864186036	Non-epithelial	0.494384630248962
1.24263391396341	Non-epithelial	0.746445117412865
1.00892411657758	Non-epithelial	0.658626737320052
1.31291115920443	Non-epithelial	0.972110328803098
0.500191972774647	Non-epithelial	0.534367681606458
1.5094366223817	Epithelial	0.724859733849685
0.550161418794796	Non-epithelial	0.190647271954442
1.27756580065845	Epithelial	0.694806917709086
0.939578371054443	Epithelial	0.670011665810625
1.44410510821801	Epithelial	0.721600291820754
1.21194852096868	Epithelial	0.716846610099611
1.29948304870199	Epithelial	0.685531080503661
0.497643799026881	Epithelial	0.581693199036743
1.2455295667786	Epithelial	0.732717478861949
1.62471331899971	Epithelial	0.747108374432408
1.4354967156856	Epithelial	0.578170249375474
1.27219220615613	Non-epithelial	0.747919498486543
1.44000518998353	Epithelial	0.548037766349923
0.818066958145519	Epithelial	0.495038714490199
1.7920648477058	Epithelial	0.560508831735073
0.973815081694722	Epithelial	0.885858210078618
0.964765901533528	Non-epithelial	0.0371853003543278
1.39817448152573	Non-epithelial	0.771148400760046
0.745201704460597	Non-epithelial	0.836004492244233
