immune cell proportion	TGCA-BC-index	type	tissue
0.40002793522839	-0.560908249404432	Breast cancer	Breast tissue
0.0514947509998905	-2.0778196262121	Control	Breast tissue
0.0256994099286476	-1.63298570151957	Control	Breast tissue
0.122070850901757	-0.0588070930859598	Breast cancer	Breast tissue
0.0439384484668944	0.0431468801269369	Breast cancer	Breast tissue
0.282696719067097	0.431908120114634	Breast cancer	Breast tissue
0.21377213204228	0.156810085039145	Breast cancer	Breast tissue
0.654508742054413	0.410876825221821	Breast cancer	Breast tissue
0.272998324969633	-0.391309068233789	Breast cancer	Breast tissue
0.155343487161931	-0.317823200348056	Breast cancer	Breast tissue
0.149109336872878	0.156679790661326	Breast cancer	Breast tissue
0	1.45151886273108	Breast cancer	Breast tissue
0	0.738801437679173	Breast cancer	Breast tissue
0.0707545655279506	0.550367324516328	Breast cancer	Breast tissue
0.394705784609197	0.31243045797234	Breast cancer	Breast tissue
0.37603448448288	0.0302256151573738	Breast cancer	Breast tissue
0.225200085778861	-0.346430809817004	Breast cancer	Breast tissue
0.0236123513339284	-0.341901716726481	Breast cancer	Breast tissue
0	-1.89081806605357	Control	Breast tissue
0.0345294640662708	0.628593632593095	Breast cancer	Breast tissue
0.0437321055063168	1.05943183274266	Breast cancer	Breast tissue
0.571877205747048	-0.667126448841528	Breast cancer	Breast tissue
0	0.848586450419381	Breast cancer	Breast tissue
0.163375759235318	0.244644998895843	Breast cancer	Breast tissue
0.159502552786592	0.675953428763469	Breast cancer	Breast tissue
0.412789374233041	-0.328605052308932	Breast cancer	Breast tissue
0.460869897575351	-0.295571794431696	Breast cancer	Breast tissue
0.267532840746063	0.150855091731425	Breast cancer	Breast tissue
0.0923561221097825	0.190206460643686	Breast cancer	Breast tissue
0.0975388259086121	-0.756639880444109	Breast cancer	Breast tissue
0.39974267796791	0.0457910591359793	Breast cancer	Breast tissue
0.137278087810395	0.890831498754498	Breast cancer	Breast tissue
0.138466419996733	-0.343370990364293	Breast cancer	Breast tissue
0.0332616622337497	0.0509421325453997	Breast cancer	Breast tissue
0.199461800643336	0.667388167105456	Breast cancer	Breast tissue
0.00632596114590801	-1.93919345063522	Control	Breast tissue
0	-1.67890992908089	Control	Breast tissue
0.253465831972922	0.0573121644445596	Breast cancer	Breast tissue
0.330585158749936	-0.166608164309708	Breast cancer	Breast tissue
0.0161087283291501	-1.6616197692734	Control	Breast tissue
0.209301028590418	0.588738460897237	Breast cancer	Breast tissue
0.0898853340130638	1.08552115982966	Breast cancer	Breast tissue
0.439439183702554	0.506461517783855	Breast cancer	Breast tissue
0.0201305225347669	0.55225987957436	Breast cancer	Breast tissue
0.12301511816614	0.280610302104772	Breast cancer	Breast tissue
0.12064347615817	0.638229133169311	Breast cancer	Breast tissue
0.127838457950477	0.752070721122543	Breast cancer	Breast tissue
0.100075680105929	1.4581813867172	Breast cancer	Breast tissue
0.0155550571861138	-2.0181327603442	Control	Breast tissue
0.0746883455862009	-0.145383037600761	Breast cancer	Breast tissue
0.317794770427788	-0.303847327286992	Breast cancer	Breast tissue
0.233229593421959	-0.0860685257562889	Breast cancer	Breast tissue
0.232721701293153	0.794021417555554	Breast cancer	Breast tissue
0.126517272788341	-0.319267042244221	Breast cancer	Breast tissue
0.587971802323526	-0.355877130135246	Breast cancer	Breast tissue
0.257488111451303	-0.213962903857095	Breast cancer	Breast tissue
0.0738695733487858	0.874372460951896	Breast cancer	Breast tissue
0.0781176730003269	-1.5614817938071	Breast cancer	Breast tissue
0.0784887255007123	0.318392979539241	Breast cancer	Breast tissue
0.156574605529118	-0.110164574923318	Breast cancer	Breast tissue
0.226274235585183	0.543709264967616	Breast cancer	Breast tissue
0.132889478331946	0.776077474273866	Breast cancer	Breast tissue
0.255102686130123	0.485950379614815	Breast cancer	Breast tissue
0.219903668417011	0.0722828345513889	Breast cancer	Breast tissue
0.29583723516664	0.134167556587386	Breast cancer	Breast tissue
0.127774365183036	-0.146001614435495	Breast cancer	Breast tissue
0.00943512417428083	-0.514014303094975	Breast cancer	Breast tissue
0.0686501891180819	0.160769431120518	Breast cancer	Breast tissue
0.198766431747088	0.0739615155372113	Breast cancer	Breast tissue
0.0354590366827572	-1.95204502569531	Control	Breast tissue
0.120746994124623	0.0792639306383995	Breast cancer	Breast tissue
0.369302492542871	0.313216933743937	Breast cancer	Breast tissue
0.0190748271427447	-1.78792247808207	Control	Breast tissue
0	1.39364055837316	Breast cancer	Breast tissue
0.0505331062078129	-1.68235571808764	Control	Breast tissue
0.0961092120636416	0.870399160279902	Breast cancer	Breast tissue
0	-1.88251953044652	Control	Breast tissue
0.156517678418275	1.07444987880965	Breast cancer	Breast tissue
0.0244845482405235	0.725039278366195	Breast cancer	Breast tissue
0.176438325912966	0.399342251579582	Breast cancer	Breast tissue
0.101154449618505	0.291589893236378	Breast cancer	Breast tissue
0.707466042002166	-0.515323910063712	Breast cancer	Breast tissue
0.0690552279564717	0.917221164930735	Breast cancer	Breast tissue
0.410294586605402	-0.0144040315524205	Breast cancer	Breast tissue
0.0223454140311465	-0.760738920748656	Breast cancer	Breast tissue
0.269496691521241	-0.0743676527609525	Breast cancer	Breast tissue
0.00628542042646681	-1.91909342838753	Control	Breast tissue
0.454686206322611	-0.527950146787972	Breast cancer	Breast tissue
0.237941370327631	-0.303516640815809	Breast cancer	Breast tissue
0.238668749274014	0.819020340950864	Breast cancer	Breast tissue
0.106102428029517	-0.0194617464805362	Breast cancer	Breast tissue
0.0637505231634479	0.341019140129032	Breast cancer	Breast tissue
0.154803504631714	0.637724909669673	Breast cancer	Breast tissue
0	0.162204190266752	Breast cancer	Breast tissue
0.092853445374984	0.331146266412576	Breast cancer	Breast tissue
0.338110032934118	-0.304853707120149	Breast cancer	Breast tissue
0.0770378145788332	-1.6297837306629	Control	Breast tissue
0.262841214009114	0.517305374058662	Breast cancer	Breast tissue
0	-0.783899156205205	Breast cancer	Breast tissue
0.400245725683838	-0.000733074127630494	Breast cancer	Breast tissue
0.105481075902482	0.359747448323029	Breast cancer	Breast tissue
0.00288316147668647	0.706523263721908	Breast cancer	Breast tissue
0.119279379756491	-0.278148633875381	Breast cancer	Breast tissue
0	0.152531521184001	Breast cancer	Breast tissue
0.198849913205244	0.818223349623331	Breast cancer	Breast tissue
0	-2.11728567625002	Control	Breast tissue
