delta beta in cervical samples	delta beta in breast tissue at risk
-0.000242840104951099	0.00235125702251509
1.5189973032851e-05	0.00020089075404886
0.00388880097175139	0.000338469956190329
4.25526931638921e-05	0.00143457033252599
-0.00114336044265858	0.00107491626742824
0.00124109206201174	0.00057877342444624
0.000806309366736879	-0.000255289935940307
0.00380034674699489	-0.00432832847787708
-0.0038717422119901	0.00675280972169504
-0.000811003125451945	-0.00129332596959401
0.00231107601346474	-0.00273173495480101
0.000263717142471018	0.00160724744937888
-0.00021894590993461	-0.00167169646070989
-0.00166175166412524	0.00309417719626325
-0.000645341128904423	0.0046192317627036
0.00097018684393374	0.00335473093779417
6.42080080910032e-05	-0.00039740341386453
0.00188017655957802	-0.00174514153165513
0.00041372783054466	2.15820161006755e-05
0.000218810872926398	-0.000352476606211925
-0.000243907678803914	0.000449368505077707
-0.000948543795505997	0.000569143518220244
0.000179375705075372	0.00104361206511455
-0.0047201189005677	-0.00168641503808306
-0.000368532105159212	-0.00303129910582386
0.000157914741763378	0.00147221778128534
0.00025923860124812	-0.00124685639284895
-0.000894142907532335	0.000737610864302022
-0.00173550281710406	-0.00124676980545092
-0.00662774350677246	0.00146891553796677
-0.000495492858298474	0.00526853125880567
-0.00271434559599176	-0.00235957114747418
0.000211884140232764	-0.00313330493333919
-0.0341401391452791	-0.035737307704451
0.000192132788996146	3.27924053114895e-06
-0.000307976164487278	0.00055809077962134
0.000110258813749965	0.000230304307943907
-0.000390572092463983	0.000584082215113777
-0.00376728667681048	0.0169883067457287
-9.76694462131306e-06	-0.00149963442234887
-4.29312126387325e-05	-0.000278019422898302
-1.62921542794757e-05	-5.23232827704216e-05
0.0005176060277041	0.00346718255234559
4.75997811801368e-05	0.000897034214205948
6.74972238433099e-05	-0.000623816617903634
-0.000365252209106576	-0.000768815979485579
-0.0642129023027732	-0.0918738934525203
-0.0430586961984398	-0.0389813720428033
-0.060456524380229	-0.0646806401365325
-0.0587800938446214	-0.0836291007657955
-0.0541366006091379	-0.0751090187717212
-0.0424027901234011	-0.0101396641100572
-0.000432843333124787	0.0121238740685356
0.000332702890551987	0.000212833913204029
0.000493279224628117	-0.000722610035789245
-0.000588255745763291	0.00160376441511406
-0.00170390603407082	-0.00063712173378231
-0.00026970708213815	0.00304248897417081
0.00194833142090524	-6.98079034204789e-05
0.000733490002786236	0.00192576420628787
0.0012641215519895	-0.00615256400425492
-3.86338223751313e-05	-0.000342228823466073
-0.0421120240918244	0.0301890379423323
-0.0362512281657419	-0.0272273021468932
-0.0305523997466946	-0.0168921222208719
-0.0173334443869656	-0.0184384239921164
-0.053783638135684	-0.0368569681592344
-0.0440271452577548	-0.0623300131017529
-0.0385624517503881	-0.0258353633833791
-0.00848602078148278	-0.0649304312952943
-0.00456847595363519	-0.00167657534666697
-0.0015207930743444	0.00183043139623053
0.000864963858786566	0.00110703213044933
5.7667742921555e-06	-0.000448953826026818
-6.36768456746921e-05	-0.000765734424067153
0.000138035061780731	0.00209944575968345
0.000436081985242736	-0.00197417808633738
0.00109995524911653	-0.000541363970461206
-0.0519381824549112	-0.0132813180955851
0.000693843754337786	-0.00245230242976427
0.000445500941405646	0.000713779089920031
-0.0435977456226463	0.00348366840296566
4.45201985784394e-05	-0.000200887511980488
7.47128380515598e-05	-0.000754288539529899
0.000186735379376239	-0.00097608150458516
0.00131160606970817	-0.000149271839247473
0.00185026706121778	-0.00746842245286257
0.00129820077390824	-0.00404362265461469
0.000709121236066253	-0.00144504990961325
0.000171094088063733	0.000771774894246537
0.000965059954667669	0.00323295706451139
-0.0289272430563113	-0.0315125274137729
-0.0244822238437989	0.00904578447781251
-0.0389047054575395	0.00512382384751114
-0.0143762661548081	0.0126549160979699
-0.0348134324826826	0.00356036444351465
0.000267380965933355	0.00340082584192775
-0.0588271063103649	-0.0814138621692213
-0.0501210611961898	-0.0558566136381262
-0.0217251704382106	-0.035774151470404
-0.023698629820613	-0.0281856204504977
-0.034009286371916	-0.0210328918142417
0.000419565406157393	-0.000905449107360807
0.000309133851932961	-8.97514415935316e-05
0.000770889147073898	0.000596784999904783
0.000104038401164571	-0.000410257048559369
-7.84014288458083e-05	0.00136545195285833
3.40466946980207e-05	0.000187567401329254
0.000432247354575506	-0.00213979125307115
-0.00341953193106787	0.00392842200912887
-0.000167425709740147	7.96576664757846e-05
2.72170522159533e-05	0.000450380374124558
0.00150876508423862	0.00106380092045166
-0.00050636340256989	0.000526220016948572
